"","kills","deaths","assists","killingSprees","largestKillingSpree","largestMultiKill","doubleKills","tripleKills","quadraKills","pentaKills","totalDamageDealt","totalDamageDealtToChampions","magicDamageDealt","physicalDamageDealt","trueDamageDealt","damageDealtToObjectives","damageDealtToTurrets","damageSelfMitigated","totalDamageTaken","goldEarned","goldSpent","totalMinionsKilled","neutralMinionsKilled","lane","teamPosition","timePlayed","visionScore","wardsPlaced","wardsKilled","longestTimeSpentLiving","totalHeal","totalHealsOnTeammates","totalDamageShieldedOnTeammates","timeCCingOthers","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","killParticipation","takedowns"
"130",8,6,8,2,3,3,1,1,0,0,147971,29865,23266,118240,6464,16810,9314,9298,16843,13222,9300,212,8,"BOTTOM","BOTTOM",1697,22,7,4,328,2067,0,0,50,FALSE,FALSE,FALSE,FALSE,NA,NA
"131",4,2,6,1,4,2,1,0,0,0,111616,20464,95782,9102,6731,9233,9180,3950,8599,12119,9075,179,0,"JUNGLE","TOP",1236,12,7,1,414,597,0,0,37,FALSE,FALSE,FALSE,FALSE,NA,NA
"132",4,4,18,1,2,1,0,0,0,0,53218,15065,43116,6710,3391,5051,2436,9534,13260,10172,9475,55,4,"JUNGLE","UTILITY",1664,72,27,13,521,2288,577,3020,45,FALSE,FALSE,FALSE,TRUE,NA,NA
"133",1,11,10,0,0,1,0,0,0,0,230636,29306,28985,180271,21378,6818,1810,37128,34046,12443,12325,244,1,"TOP","TOP",2079,16,11,3,588,7968,0,0,40,FALSE,FALSE,FALSE,FALSE,NA,NA
"134",3,1,0,1,2,1,0,0,0,0,132632,2017,18895,74684,39052,13079,0,6647,14859,6081,5400,3,123,"NONE","JUNGLE",915,11,2,2,453,12166,0,0,3,TRUE,FALSE,FALSE,FALSE,NA,NA
"135",3,4,23,1,3,1,0,0,0,0,25595,8276,13328,5848,6418,5270,550,38427,18765,8777,7750,29,0,"BOTTOM","UTILITY",1654,60,24,8,849,2322,0,1744,46,FALSE,FALSE,FALSE,FALSE,NA,NA
"136",3,6,7,1,2,1,0,0,0,0,169851,17588,106100,13661,50088,17624,0,9193,24740,7711,6850,20,109,"JUNGLE","JUNGLE",1299,19,7,4,271,11152,0,0,20,FALSE,FALSE,FALSE,FALSE,NA,NA
"137",11,2,6,2,7,3,1,1,0,0,203721,32747,19114,170336,14270,28588,14381,22655,26165,14538,12333,219,4,"MIDDLE","TOP",1770,23,8,5,1375,3315,0,0,46,FALSE,FALSE,FALSE,TRUE,NA,NA
"138",3,7,2,0,0,1,0,0,0,0,145022,15882,55663,77288,12070,2469,2469,11114,24754,10314,10033,210,4,"MIDDLE","MIDDLE",1627,8,6,0,383,3874,0,0,0,FALSE,FALSE,FALSE,FALSE,NA,NA
"139",2,5,13,0,0,1,0,0,0,0,21164,7950,13135,4612,3416,935,374,20237,17447,6893,6550,20,0,"BOTTOM","UTILITY",1489,73,41,5,404,5727,1881,4950,35,FALSE,FALSE,FALSE,FALSE,NA,NA
